Provinsi,2019,2020,2021,2022,2023,Average_GRDP,GRDP_Growth,GRDP_Growth_Visual,GRDP_Growth_Label
Aceh,132070.0,131581.0,135274.0,140972.0,146932,137365.8,0.11253123343681382,0.06938794810803423,11.25%
Sumatera Utara,539514.0,533746.0,547652.0,573529.0,602236,559335.4,0.1162564826862695,0.37858969413079213,11.63%
Sumatera Barat,172006.0,168326.0,172691.0,182629.0,191071,177344.6,0.11083915677360093,-0.07105716673796822,11.08%
Riau,495607.0,489996.0,506472.0,529533.0,551282,514578.0,0.11233699281890691,0.053265660931107746,11.23%
Jambi,349111.0,343851.0,351851.0,361130.0,369649,355118.4,0.05882942674392958,-4.387949341857908,5.88%
Sumatera Selatan,315465.0,315129.0,326405.0,343460.0,360911,332274.0,0.14406035534845388,2.686356342120321,14.41%
Bengkulu,46345.0,46338.0,47854.0,49916.0,52041,48498.8,0.1229043046714856,0.9303697301586208,12.29%
Lampung,244378.0,237662.0,246966.0,257354.0,269241,251120.2,0.10173992748938121,-0.8263079952706487,10.17%
Bangka-Belitung,53942.0,52706.0,53700.0,57805.0,60038,55638.2,0.11301027029031181,0.10914878599894082,11.3%
Kepulauan Riau,338587.0,174959.0,180952.0,196282.0,200044,218164.8,-0.409179915354104,-43.23348585268834,-40.92%
Jakarta Raya,1836241.0,1792291.0,1856001.0,1953489.0,2050466,1897697.6,0.11666496935859727,0.4124947522498509,11.67%
Jawa Barat,1490960.0,1534381.0,1507741.0,1589985.0,1669147,1558442.8,0.11951158984815152,0.6487688822997911,11.95%
Jawa Tengah,991517.0,965227.0,997321.0,1021302.0,1102563,1015586.0,0.11199606259902756,0.02496789823133078,11.2%
Yogyakarta,386899.0,393071.0,407773.0,417120.0,418177,404608.0,0.08084280393591092,-2.5608032348926515,8.08%
Jawa Timur,1649896.0,1611393.0,1668754.0,1757875.0,1844809,1706545.4,0.1181365370908227,0.5346372672134703,11.81%
Banten,456620.0,441149.0,439160.0,484131.0,507427,465697.4,0.11126757478866453,-0.03549777475778703,11.13%
Bali,162693.0,147499.0,143872.0,158300.0,159448,154362.4,-0.01994554160289625,-10.926399825214173,-1.99%
Nusa Tenggara Barat,93872.0,93289.0,95438.0,102074.0,103906,97715.8,0.10689023350945968,-0.3988242197373808,10.69%
Nusa Tenggara Timur,68939.0,68110.0,70541.0,72565.0,75258,71082.6,0.09166074355589725,-1.662896653378061,9.17%
Kalimantan Barat,137243.0,134743.0,141212.0,136489.0,154981,140933.6,0.1292452074058422,1.4566749692268577,12.92%
Kalimantan Tengah,100349.0,98031.0,100427.0,105337.0,110889,103006.6,0.10503343331772115,-0.5529416553384578,10.5%
Kalimantan Selatan,133284.0,130864.0,135425.0,142341.0,149231,138229.0,0.11964676930464271,0.6599889970289172,11.96%
Kalimantan Timur,418621.0,432974.0,448236.0,463132.0,474119,447416.4,0.13257337782863257,1.7329185268729534,13.26%
Kalimantan Utara,61418.0,62063.0,63486.0,66528.0,68177,64334.4,0.11004917125272722,-0.13662724971229295,11.0%
Sulawesi Utara,86906.0,90965.0,89606.0,97532.0,101703,93342.4,0.1702644236301291,4.861336624789311,17.03%
Sulawesi Tengah,127935.0,131044.0,141966.0,153377.0,163181,143500.6,0.27549927697658966,13.59600059443616,27.55%
Sulawesi Selatan,263694.0,263535.0,267353.0,272646.0,280304,269506.4,0.06298967742914136,-4.042641769230972,6.3%
Sulawesi Tenggara,123258.0,125193.0,130735.0,135804.0,138105,130619.0,0.12045465608723166,0.7270449138381643,12.05%
Gorontalo,28430.0,28425.0,29548.0,31168.0,31648,29843.8,0.11319029194512839,0.12409087611528016,11.32%
Sulawesi Barat,32284.0,32489.0,32941.0,33816.0,35426,33391.2,0.09732375170363028,-1.1928577674495529,9.73%
Maluku,30676.0,30765.0,30355.0,35038.0,35357,32438.2,0.15259486243317252,3.394734309695025,15.26%
Maluku Utara,26598.0,26341.0,27104.0,44482.0,48495,34604.0,0.8232573877735168,59.060814601521635,82.33%
Papua Barat,62075.0,61604.0,61289.0,62519.0,40955,57688.4,-0.34023358840112766,-37.51082858919619,-34.02%
Papua,134566.0,137877.0,158675.0,172847.0,175662,155925.4,0.30539660835575105,16.07752772049583,30.54%
